"","kudos_count","kilojoules","average_heartrate","energy_per_hr"
"265",19,1207.7,142,8.50492957746479
"266",3,1183.9,133.3,8.8814703675919
"267",5,835.2,144.3,5.78794178794179
"268",1,604.2,132.5,4.56
"269",5,331.6,141.3,2.34677990092003
"270",5,1266.7,131.4,9.6400304414003
"271",0,333.6,141.8,2.35260930888575
"272",1,1090.9,164.4,6.63564476885645
"273",12,864.7,150.3,5.75316034597472
"274",8,231,145.9,1.5832762165867
"275",1,40.1,130.4,0.307515337423313
"276",0,2286.3,149.7,15.2725450901804
"277",7,593.3,137.1,4.32749817651349
"278",0,315.2,134.3,2.3469843633656
"279",0,1142.8,162.4,7.03694581280788
"280",0,273.2,112,2.43928571428571
"281",10,1785.2,141.6,12.6073446327684
"282",0,930.6,107.7,8.64066852367688
"283",8,1471.5,147.3,9.989816700611
"284",0,1569.3,132.6,11.8348416289593
"285",7,1135.5,181.5,6.25619834710744
"286",4,1108.1,121.3,9.13520197856554
"287",6,616.2,126.5,4.87114624505929
"288",25,1183.9,183,6.46939890710383
"289",1,150.2,140.4,1.06980056980057
"290",5,1054.9,149,7.07986577181208
"291",4,871.3,123.4,7.06077795786062
"292",30,2109.4,135.9,15.5217071376012
"293",0,881.2,145.7,6.04804392587509
"294",2,221.6,134.4,1.64880952380952
"295",0,501.8,99.4,5.04828973843058
"296",7,1493.5,141.1,10.5846917080085
"297",1,236.8,123.4,1.91896272285251
"298",4,817.3,137.2,5.9569970845481
"299",5,44.7,131.1,0.340961098398169
"300",0,645.5,122.4,5.27369281045752
"301",0,838.2,136.8,6.12719298245614
"302",1,1610.7,158.2,10.1814159292035
"303",0,1060.5,154.7,6.8552036199095
"304",1,948.4,149.8,6.33110814419226
"305",7,298,133,2.2406015037594
"306",0,140.4,114.5,1.22620087336245
"307",2,1334.6,161.4,8.26889714993804
"308",0,1765.1,127.8,13.8114241001565
"309",0,1138.5,162.6,7.00184501845018
"310",0,1003.3,124.6,8.05216693418941
"311",15,2038.3,150.4,13.5525265957447
"312",0,750.3,151.3,4.95902181097158
"313",1,829.4,147.8,5.61163734776725
"314",0,2240.7,169.4,13.2272727272727
"315",0,898.4,157.2,5.71501272264631
"316",8,898,151.7,5.91957811470007
"317",0,2160.9,146.9,14.7100068073519
"318",2,3533.6,151,23.4013245033113
"319",4,499,143.2,3.48463687150838
"320",0,401.6,133.4,3.01049475262369
"321",1,503.3,121.9,4.12879409351928
"322",0,1063.9,139.9,7.60471765546819
"323",2,834.1,89.3,9.34042553191489
"324",0,1409.7,165,8.54363636363636
"325",29,525.1,163.1,3.21949724095647
"326",9,867.8,134.3,6.46165301563663
"327",0,1153.2,160.1,7.20299812617114
"328",86,1439.2,138.3,10.4063629790311
"329",0,29.9,113.3,0.263901147396293
"330",16,1227.9,135.6,9.05530973451328
"331",12,1354.8,112.9,12
"332",9,2174.4,143.5,15.1526132404181
"333",1,272.3,124.8,2.18189102564103
"334",0,1030.7,151.7,6.79433091628214
"335",19,1799.6,136,13.2323529411765
"336",0,690,125.7,5.48926014319809
"337",14,857.1,118.1,7.25740897544454
"338",3,1487.2,132.1,11.2581377744133
"339",1,1276.1,145.2,8.78856749311295
"340",0,574.6,149.2,3.85120643431635
"341",11,2416.5,146.4,16.5061475409836
"342",3,139.6,100.1,1.39460539460539
"343",38,1486.7,122,12.1860655737705
"344",0,885.5,161,5.5
"345",0,43,141.6,0.303672316384181
"346",0,1276.6,144.2,8.85298196948682
"347",7,1254.7,161.7,7.75943104514533
"348",5,1668.7,130.3,12.8066001534919
"349",9,522.3,151,3.45894039735099
"350",0,280.6,138.1,2.03186097031137
"351",39,2714.5,161.9,16.7665225447807
"352",2,187.8,119.2,1.5755033557047
"353",2,1008.4,123.9,8.13882163034705
"354",1,295.8,150.8,1.96153846153846
"355",7,907.5,130.2,6.97004608294931
"356",0,119.5,159.6,0.74874686716792
"357",9,966,143.3,6.74110258199581
"358",12,2061.7,152.2,13.5459921156373
"359",0,883.6,122.2,7.23076923076923
"360",1,1745.8,130.7,13.3573068094874
"361",0,27.5,108.7,0.252989880404784
"362",0,79.2,166,0.47710843373494
"363",8,1388,147.4,9.41655359565807
"364",0,828.4,105,7.88952380952381
"365",3,469.8,153.2,3.06657963446475
"366",0,647.8,117.5,5.5131914893617
"367",0,746.6,145.4,5.13480055020633
"368",1,8.8,150.5,0.0584717607973422
"369",1,228,169.7,1.34354743665292
"370",12,2082.9,110.5,18.8497737556561
"371",1,1569.6,103.5,15.1652173913043
"372",1,633.3,143.6,4.41016713091922
"373",1,1691.5,149.7,11.2992651970608
"374",0,1149.9,150.4,7.64561170212766
"375",11,71.8,111.8,0.64221824686941
"376",17,1365.7,124.9,10.9343474779824
"377",9,1646.9,146.7,11.2263122017723
"378",0,630.9,147.8,4.26860622462787
"379",4,842.4,152.5,5.52393442622951
"380",4,1130.2,153.4,7.36766623207301
"381",0,5849.3,141.3,41.3963198867657
"382",29,764.6,152.7,5.00720366732155
"383",0,2117.8,160.5,13.195015576324
"384",36,249.5,104.8,2.38072519083969
"385",3,1006.2,156.4,6.43350383631714
"386",16,795.6,120.7,6.59154929577465
"387",0,2744.3,138.5,19.814440433213
"388",5,651.3,135.3,4.81374722838137
"389",0,166.2,105.3,1.57834757834758
"390",0,1955.9,148.8,13.1444892473118
"391",7,843.6,142.1,5.93666432090077
"392",21,523.3,132.2,3.95839636913767
"393",6,931.1,125.7,7.40731901352426
"394",0,290.7,134.9,2.15492957746479
"395",0,122.8,144.6,0.84923928077455
"396",0,360.6,138,2.61304347826087
"397",0,378.9,121.8,3.11083743842365
"398",5,936.7,137.5,6.81236363636364
"399",2,2260,148.9,15.1779717931498
"400",1,1163.8,118.9,9.78805719091674
"401",0,522,90.9,5.74257425742574
"402",4,576.4,129,4.46821705426357
"403",0,1064.8,167.5,6.35701492537313
"404",1,975.6,155.3,6.28203477141017
"405",4,248,103.1,2.40543161978662
"406",1,319.6,133.5,2.3940074906367
"407",13,952.5,138.2,6.89218523878437
"408",0,442.4,143.4,3.08507670850767
"409",0,693.2,108.1,6.41258094357077
"410",0,724.9,115.4,6.28162911611785
"411",15,946.2,128.2,7.38065522620905
"412",2,371.5,138.4,2.68424855491329
"413",0,1034.6,147.2,7.02853260869565
"414",0,433.6,131.1,3.30739893211289
"415",0,1001.8,144.5,6.93287197231834
"416",8,2016.4,160,12.6025
"417",4,1546.5,134.9,11.46404744255
"418",77,2663.2,144,18.4944444444444
"419",1,626.3,143.9,4.35232800555942
"420",2,441.1,124.9,3.53162530024019
"421",0,191,136.1,1.40337986774431
"422",0,1437.3,153,9.39411764705882
